#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       8.427915e-03       5.381944e-04       4.014585e-03       6.426034e-02       1.066602e-02       2.992327e-02
         100       3.004031e-02       4.428847e-04       1.704921e-02       3.878209e-01       1.215918e-02       7.451938e-02
         200       6.542971e-02       1.673413e-03       3.748473e-02       5.071698e-01       1.955943e-02       9.825547e-02
         300       1.810559e-01       1.213183e-03       1.034699e-01       7.321976e-01       2.790217e-02       1.548148e-01
         400       3.208020e-01       1.504860e-03       1.843027e-01       1.349938e+00       4.271792e-02       2.443267e-01
         500       4.430456e-01       1.528696e-03       2.531704e-01       1.404548e+00       6.879234e-02       3.176988e-01
         600       5.485189e-01       3.035319e-03       3.134314e-01       1.729177e+00       1.028499e-01       3.652530e-01
         700       5.769541e-01       4.113908e-03       3.320302e-01       1.294643e+00       9.526239e-02       3.846488e-01
         800       6.218259e-01       5.569296e-03       3.575038e-01       1.844028e+00       1.022442e-01       4.064269e-01
         900       6.566358e-01       1.818654e-03       3.758450e-01       1.721536e+00       9.194939e-02       4.244812e-01
        1000       7.105277e-01       4.272521e-03       4.026998e-01       2.145751e+00       4.907167e-02       4.363452e-01
        1100       7.081170e-01       6.957427e-03       4.066292e-01       1.799870e+00       1.010684e-01       4.465175e-01
        1200       7.402613e-01       7.097829e-03       4.241170e-01       1.591688e+00       9.950014e-02       4.594516e-01
        1300       7.548870e-01       6.294055e-03       4.345126e-01       1.824218e+00       1.018171e-01       4.718181e-01
        1400       7.819552e-01       2.901729e-03       4.488444e-01       2.054345e+00       9.596126e-02       4.880460e-01
        1500       8.003755e-01       3.683258e-03       4.530185e-01       1.847400e+00       1.173243e-01       4.984550e-01
        1600       7.872614e-01       1.898573e-03       4.535919e-01       2.084395e+00       1.131108e-01       4.808990e-01
        1700       8.076290e-01       2.707899e-03       4.640853e-01       2.064328e+00       1.438453e-01       5.002912e-01
        1800       8.097930e-01       4.324817e-03       4.645545e-01       2.045724e+00       1.315349e-01       5.066572e-01
        1900       8.337998e-01       3.263236e-03       4.799757e-01       1.935589e+00       1.150381e-01       5.177267e-01
        2000       8.222509e-01       4.449985e-03       4.735157e-01       1.899595e+00       1.179497e-01       5.241846e-01
        2100       8.329255e-01       6.699520e-03       4.755167e-01       1.824312e+00       1.355703e-01       5.200356e-01
        2200       8.553030e-01       6.358479e-03       4.917056e-01       1.592232e+00       1.031701e-01       5.270347e-01
        2300       8.730665e-01       7.197458e-03       4.974279e-01       1.679530e+00       9.215332e-02       5.393307e-01
        2400       8.420152e-01       4.679917e-03       4.831429e-01       2.232955e+00       1.223077e-01       5.325768e-01
        2500       8.511981e-01       3.715760e-03       4.841518e-01       1.973290e+00       1.266944e-01       5.334082e-01
