#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       5.370038e-03       3.117677e-04       2.918271e-03       2.195563e-02       4.815589e-03       1.162682e-02
         100       4.342137e-03       1.124197e-04       2.351762e-03       3.037834e-02       3.332142e-03       1.253280e-02
         200       4.006697e-03       7.520343e-05       2.207101e-03       2.348677e-02       2.316471e-03       1.079590e-02
         300       4.306211e-03       3.373365e-04       2.407080e-03       2.522943e-02       2.996040e-03       1.073531e-02
         400       4.981348e-03       1.439394e-04       2.501159e-03       3.160918e-02       3.226562e-03       1.290219e-02
         500       5.347286e-03       1.623273e-04       2.965814e-03       3.377273e-02       3.839529e-03       1.224893e-02
         600       4.071273e-03       9.698389e-05       2.208514e-03       2.840128e-02       4.015315e-03       1.173813e-02
         700       3.328903e-03       1.838494e-04       1.829158e-03       2.711406e-02       3.756724e-03       1.137742e-02
         800       4.052048e-03       1.678341e-04       2.184737e-03       2.798197e-02       3.618143e-03       1.225709e-02
         900       4.957048e-03       3.629108e-04       2.615697e-03       2.775746e-02       3.923701e-03       1.290643e-02
        1000       4.484332e-03       1.200399e-04       2.513339e-03       2.585907e-02       4.077216e-03       1.176786e-02
        1100       4.161196e-03       1.079874e-04       2.399436e-03       2.161670e-02       3.364750e-03       1.073677e-02
        1200       3.043176e-03       4.170947e-04       1.706712e-03       2.502181e-02       3.294898e-03       1.199754e-02
        1300       4.092396e-03       1.584170e-04       2.211940e-03       2.914954e-02       3.557361e-03       1.200223e-02
        1400       4.760683e-03       2.086987e-04       2.449445e-03       3.033210e-02       3.940491e-03       1.201530e-02
        1500       4.502854e-03       1.874956e-04       2.523750e-03       2.513508e-02       3.885153e-03       1.171956e-02
        1600       3.530917e-03       2.543159e-04       2.010882e-03       2.797883e-02       2.447700e-03       1.215154e-02
        1700       3.615842e-03       1.466454e-04       1.947171e-03       2.611705e-02       3.401207e-03       1.236060e-02
        1800       4.392956e-03       1.170590e-04       2.449968e-03       2.769416e-02       2.953152e-03       1.145655e-02
        1900       5.137452e-03       2.905127e-04       2.719490e-03       2.404774e-02       3.279820e-03       1.135470e-02
        2000       3.910271e-03       1.880085e-04       2.175951e-03       3.263789e-02       3.201357e-03       1.250956e-02
        2100       3.792320e-03       1.847367e-04       2.121131e-03       3.009793e-02       3.008707e-03       1.222807e-02
        2200       3.707367e-03       2.270305e-04       1.924416e-03       2.669680e-02       2.813494e-03       1.154787e-02
        2300       4.471196e-03       1.250574e-04       2.432359e-03       2.582710e-02       3.678401e-03       1.118405e-02
        2400       4.542556e-03       2.165215e-04       2.592672e-03       3.070638e-02       3.047251e-03       1.212602e-02
        2500       3.587472e-03       1.893855e-04       2.063980e-03       2.809441e-02       3.295716e-03       1.236077e-02
        2600       3.504320e-03       5.653368e-05       1.948411e-03       2.536912e-02       3.355043e-03       1.164232e-02
        2700       3.894373e-03       1.916792e-04       2.104225e-03       2.584160e-02       3.127588e-03       1.163901e-02
        2800       4.539288e-03       2.476719e-04       2.360788e-03       2.956849e-02       3.249699e-03       1.221726e-02
        2900       4.235942e-03       2.220806e-04       2.252230e-03       3.121378e-02       3.411600e-03       1.244543e-02
        3000       3.383307e-03       3.154080e-04       1.901350e-03       2.519825e-02       3.498664e-03       1.182286e-02
        3100       3.516060e-03       3.244252e-04       2.024404e-03       2.434915e-02       3.539340e-03       1.111304e-02
        3200       4.075285e-03       1.512785e-04       2.297922e-03       2.426388e-02       3.136106e-03       1.171353e-02
        3300       4.794134e-03       1.690218e-04       2.448439e-03       3.150025e-02       2.683347e-03       1.230945e-02
        3400       3.811281e-03       1.253592e-04       2.078781e-03       2.904166e-02       3.903739e-03       1.219418e-02
        3500       3.458597e-03       2.934289e-04       1.865599e-03       2.527629e-02       3.435928e-03       1.144173e-02
        3600       3.962087e-03       1.622589e-04       2.131131e-03       2.659544e-02       3.584943e-03       1.176154e-02
        3700       4.357091e-03       2.381841e-04       2.331938e-03       2.760307e-02       2.926749e-03       1.229947e-02
        3800       4.404886e-03       1.882028e-04       2.393239e-03       2.749115e-02       3.566382e-03       1.175972e-02
        3900       3.550614e-03       2.797146e-04       1.994191e-03       2.531239e-02       4.345380e-03       1.158195e-02
        4000       3.613647e-03       2.333686e-04       1.993907e-03       2.645979e-02       3.469528e-03       1.131400e-02
        4100       4.190337e-03       1.614836e-04       2.226646e-03       2.700149e-02       2.927566e-03       1.181830e-02
        4200       4.363933e-03       1.008086e-04       2.284790e-03       2.662102e-02       2.835579e-03       1.201561e-02
        4300       3.980790e-03       9.511326e-05       2.141159e-03       2.647354e-02       3.684983e-03       1.187652e-02
        4400       3.809884e-03       1.879914e-04       2.181576e-03       2.567793e-02       2.757920e-03       1.141223e-02
        4500       3.801225e-03       6.358726e-05       2.162137e-03       2.980483e-02       3.559509e-03       1.170360e-02
        4600       4.020522e-03       2.261259e-04       2.185792e-03       2.577457e-02       4.105874e-03       1.177957e-02
        4700       4.276140e-03       1.866373e-04       2.295091e-03       2.596934e-02       2.772344e-03       1.165650e-02
        4800       4.192879e-03       2.524975e-04       2.225879e-03       2.812896e-02       3.494769e-03       1.182603e-02
        4900       3.795692e-03       2.153833e-04       2.048570e-03       2.715840e-02       2.515182e-03       1.190406e-02
        5000       3.907940e-03       2.007653e-04       2.079342e-03       2.680968e-02       2.941407e-03       1.164572e-02
        5100       3.933155e-03       2.163482e-04       2.079920e-03       3.078778e-02       3.663408e-03       1.173079e-02
        5200       4.303594e-03       1.887053e-04       2.397120e-03       2.613313e-02       3.091602e-03       1.194422e-02
        5300       4.068148e-03       7.411841e-05       2.308019e-03       2.471806e-02       3.141762e-03       1.167276e-02
        5400       3.977777e-03       2.242136e-04       2.147102e-03       2.564724e-02       2.943910e-03       1.109836e-02
        5500       3.871582e-03       2.034006e-04       1.989066e-03       2.484878e-02       3.555723e-03       1.153338e-02
        5600       4.085122e-03       1.661671e-04       2.128474e-03       2.856981e-02       3.382218e-03       1.222968e-02
        5700       4.112013e-03       1.902732e-04       2.280114e-03       3.022912e-02       2.775414e-03       1.229374e-02
        5800       4.052713e-03       1.368203e-04       2.302240e-03       2.919778e-02       3.749534e-03       1.153052e-02
        5900       3.914320e-03       2.542165e-04       2.176979e-03       2.943001e-02       3.217883e-03       1.127679e-02
        6000       3.741145e-03       2.345136e-04       2.122100e-03       2.602656e-02       2.885404e-03       1.153500e-02
        6100       4.260868e-03       1.850118e-04       2.312081e-03       2.428432e-02       3.392105e-03       1.192310e-02
        6200       4.245951e-03       1.103899e-04       2.237923e-03       2.583272e-02       3.020315e-03       1.200549e-02
        6300       4.062493e-03       1.880293e-04       2.216717e-03       2.775083e-02       3.689173e-03       1.173241e-02
        6400       3.760987e-03       1.126739e-04       2.101312e-03       2.807498e-02       2.394588e-03       1.178543e-02
        6500       3.850733e-03       2.905048e-04       2.090782e-03       2.749718e-02       3.111527e-03       1.184268e-02
        6600       4.203361e-03       2.788329e-04       2.390136e-03       2.861232e-02       3.724405e-03       1.129453e-02
        6700       4.167960e-03       1.892114e-04       2.257851e-03       2.773410e-02       3.244767e-03       1.197208e-02
        6800       4.079399e-03       1.308258e-04       2.277302e-03       2.454950e-02       3.595990e-03       1.223284e-02
